Stone_NO,Shape,Weight,Color,Clarity,Cut,Polish,Symm,FlrIntens,FlrColor,FColor,FCIntens,FCOverton,Measurement,Diameter_Min,Diameter_Max,Total_Depth,Lab,LabLocation,Lab_Report_No,LabLink,Lab_Report_Date,Laser_Inscription,Treatment,Location,Total_Depth_Per,Table_Diameter_Per,GirdleName,GirdleThin_ID,GirdleThick_ID,Girdle_Per,GirdleCon,CuletSize,CuletCon,CrownHeight,CrownAngle,PavillionHeight,PavillionAngle,PairStock_No,Parcels_Stone,Comment,KeyToSymbols,Shade,StarLength,LowerHalve,Table_Inclusion,Black_Inclusion,Side_Inclusion,Open_Inclusion,Brand,HnA,Ratio,Eyeclean,Tinge,Feather_Inclusion,Milkey,Luster,Internal_Graining,Surface_Graining,Natural_Type,ExtraFacet,Fancy_Color_Description,Stone_Comment,NewArrival,StockStatus,Is_VedioExist,Is_imgExist,Is_CertyExist,Certificate_file_url,Stone_Img_url,Video_url,Lab_Report_Comment,Remarks,Control_No,LiveRAP,SaleDis,SaleRate,SaleAmt,BIS,BIC,WIS,WIC,CVD_HPHT
KG-66972,ROUND,0.400,J,SI2,EX,EX,EX,FNT,,,,,4.71 - 4.72 * 2.92,4.71,4.72,2.92,GIA,HONGKONG,6415228219,https://www.gia.edu/report-check?reportno=6415228219,,GIA 6415228219,,HK,61.90,59.00,THN to STK,THN,STK,4.00,FACETED,NONE,,14.50,35.00,43.50,41.20,,,,Feather,,45.00,80.00,SB0,TB1,SF0,SC1,,,0.997881,,,TF1,,,,,,,,NO BGM  100% EYE CLEAN ,08/12/2021,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-66972.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-66972,,DL,112,1300.0,-39.69,784.02,313.61,,,,,
KG-70841,ROUND,0.340,H,SI1,EX,EX,EX,FNT,,,,,4.42 - 4.44 * 2.79,4.42,4.44,2.79,GIA,HONGKONG,2417419754,https://www.gia.edu/report-check?reportno=2417419754,,GIA 2417419754,,HK,63.00,55.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.50,36.50,42.50,40.60,,,,Crystal  Feather,,45.00,75.00,SB1,TB1,SF1,SC0,,,0.995495,,,TF1,,,,,,,,NO BGM  100% EYE CLEAN ,04/01/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-70841.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-70841,,DL,332,1500.0,-43.0,855.0,290.7,,,,,
KG-71290,ROUND,0.700,K,VS1,EX,EX,EX,NON,,,,,5.63 - 5.67 * 3.56,5.63,5.67,3.56,GIA,HONGKONG,7411408544,https://www.gia.edu/report-check?reportno=7411408544,,GIA 7411408544,,HK,62.90,55.00,STK,STK,,4.00,FACETED,NONE,,16.00,35.50,42.50,40.60,,,,Crystal  Feather  Pinpoint  Needle,,45.00,80.00,SB0,TB1,SF0,SC0,,,0.992945,,,TF0,,,,,,,,NO BGM  100% EYE CLEAN ,04/01/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-71290.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-71290,,DL,600,2500.0,-31.36,1716.0,1201.2,,,,,
KG-65671,ROUND,0.350,J,SI2,EX,EX,EX,FNT,,,,,4.52 - 4.49 * 2.83,4.52,4.49,2.83,GIA,,6401804606,https://www.gia.edu/report-check?reportno=6401804606,,,,HK,62.80,57.00,,,,0.04,FACETED,NONE,,16.00,36.50,43.50,41.00,,,,Crystal,,,,SB0,TB2,SF0,SC0,,,1.01,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN ,26/03/2022,ONHOLD,NO,NO,NO,,,,,DL,,1100.0,-40.0,660.0,231.0,,,,,
KG-69503,ROUND,0.340,J,SI1,EX,EX,EX,NON,,,,,4.47 - 4.45 * 2.79,4.47,4.45,2.79,GIA,,6412407793,https://www.gia.edu/report-check?reportno=6412407793,,,,HK,62.60,55.00,,,,,,,,15.50,35.00,43.00,40.80,,,,,,,,SB2,TB2,SF1,SC0,,,1,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN ,26/03/2022,AVAILABLE,NO,NO,NO,,,,,,,1300.0,-42.5,747.5,254.15,,,,,
KG-79815,ROUND,0.500,H,SI1,EX,EX,EX,NON,,,,,5.10 - 5.12 * 3.15,5.10,5.12,3.15,GIA,,6224521670,https://www.gia.edu/report-check?reportno=6224521670,,,,HK,61.60,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,13.50,32.50,44.50,41.60,,,,Crystal  Feather,,,,SB0,TB2,SF2,SC0,,,1,,,TF2,,,,,,,  ,NO BGM  100% EYE CLEAN,13/09/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-79815.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-79815,,,,2300.0,-43.0,1311.0,655.5,,,,,
KG-79881,ROUND,0.300,G,SI1,EX,EX,EX,NON,,,,,4.28 - 4.31 * 2.67,4.28,4.31,2.67,GIA,,2225520420,https://www.gia.edu/report-check?reportno=2225520420,,,,HK,62.20,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.00,33.00,44.50,41.80,,,,Crystal  Cloud,,,,SB1,TB1,SF0,SC0,,,0.99,,,TF1,,,,,,,  ,LIGHT BROWN  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,13/09/2022,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-79881.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-79881,,,,1600.0,-39.0,976.0,292.8,,,,,
KG-82012,ROUND,0.300,J,SI1,EX,VG,EX,NON,,,,,4.27 - 4.29 * 2.68,4.27,4.29,2.68,GIA,,2221615027,https://www.gia.edu/report-check?reportno=2221615027,,,,HK,62.70,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,40.80,,,,Crystal  Cloud  Feather,,,,SB0,TB2,SF1,SC0,,,1,,,TF0,,,,,,,  ,,15/11/2022,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-82012.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-82012,,,,1300.0,-43.0,741.0,222.3,,,,,
KG-82089,ROUND,0.500,J,VS2,EX,EX,EX,FNT,,,,,5.04 - 5.08 * 3.19,5.04,5.08,3.19,GIA,,6223615479,https://www.gia.edu/report-check?reportno=6223615479,,,,HK,63.00,56.00,MED,MED,,3.50,FACETED,NONE,,16.00,35.50,43.50,41.20,,,,Feather  Indented Natural,,,,SB0,TB0,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,07/12/2022,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-82089.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-82089,,,,2000.0,-41.2,1176.0,588.0,,,,,
KG-83233,ROUND,0.500,I,SI1,EX,EX,EX,NON,,,,,5.07 - 5.09 * 3.20,5.07,5.09,3.20,GIA,,2225699090,https://www.gia.edu/report-check?reportno=2225699090,,,,HK,63.10,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,34.00,44.50,41.80,,,,Feather  Crystal,,,,SB1,TB1,SF2,SC0,,,1,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,13/02/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-83233.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-83233,,,,2000.0,-35.95,1281.0,640.5,,,,,
KG-83322,ROUND,0.500,I,SI1,EX,EX,EX,NON,,,,,5.04 - 5.07 * 3.17,5.04,5.07,3.17,GIA,,5222641565,https://www.gia.edu/report-check?reportno=5222641565,,,,HK,62.70,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.50,35.50,43.00,41.00,,,,Crystal  Feather,,,,SB2,TB1,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,13/02/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-83322.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-83322,,,,2000.0,-35.95,1281.0,640.5,,,,,
KG-84703,ROUND,0.400,J,SI1,EX,EX,EX,FNT,,,,,4.74 - 4.75 * 2.93,4.74,4.75,2.93,GIA,,1458498027,https://www.gia.edu/report-check?reportno=1458498027,,,,HK,61.90,60.00,MED to STK,MED,STK,4.00,FACETED,NONE,,13.50,33.50,44.50,41.80,,,,Feather,,,,SB0,TB2,SF2,SC0,,,1,,,TF2,,,,,,,  ,NO BGM 100% EYECLEAN,13/02/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-84703.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-84703,,,,1500.0,-38.13,928.05,371.22,,,,,
KG-81673,ROUND,0.300,K,SI1,EX,EX,EX,FNT,,,,,4.30 - 4.33 * 2.64,4.30,4.33,2.64,GIA,,2223607466,https://www.gia.edu/report-check?reportno=2223607466,,,,HK,61.30,60.00,MED to STK,MED,STK,4.00,FACETED,NONE,,13.50,33.50,44.00,41.40,,,,Crystal  Feather,,,,SB0,TB2,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,,27/02/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-81673.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-81673,,,,1100.0,-41.0,649.0,194.7,,,,,
KG-81516,ROUND,0.450,I,VVS1,EX,EX,EX,FNT,,,,,4.88 - 4.90 * 3.02,4.88,4.90,3.02,GIA,,2225552667,https://www.gia.edu/report-check?reportno=2225552667,,,,HK,61.70,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.50,43.00,40.60,,,,Pinpoint  Feather,,,,SB0,TB0,SF0,SC0,,,1,,,TF0,,,,,,,  ,LIGHT BROWN  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,20/03/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-81516.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-81516,,,,2200.0,-40.0,1320.0,594.0,,,,,
KG-87347,ROUND,0.630,J,VVS2,EX,EX,EX,NON,,,,,5.45 - 5.49 * 3.38,5.45,5.49,3.38,GIA,,6452993222,https://www.gia.edu/report-check?reportno=6452993222,,,,HK,61.80,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.50,43.00,40.80,,,,Etch Channel,,,,SB0,TB0,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,31/03/2023,AVAILABLE,NO,NO,NO,,,,,,,2200.0,-34.14,1448.92,912.82,,,,,
KG-62359,ROUND,1.000,K,SI1,EX,EX,EX,NON,,,,,6.35 - 6.37 * 4.01,6.35,6.37,4.01,GIA,,3405249106,https://www.gia.edu/report-check?reportno=3405249106,,,,HK,63.10,56.00,MED to STK,MED,STK,0.04,FACETED,NONE,,16.50,36.50,43.00,40.80,,,,Crystal  Cloud  Feather  Needle,,,,SB1,TB1,SF0,SC0,,,1,,,TF1,,,,,,,  ,MIX TINGE  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,14/04/2023,AVAILABLE,NO,NO,NO,,,,,,,3700.0,-42.03,2144.89,2144.89,,,,,
KG-65626,ROUND,0.300,G,SI1,EX,EX,EX,NON,,,,,4.28 - 4.30 * 2.67,4.28,4.30,2.67,GIA,,6405824736,https://www.gia.edu/report-check?reportno=6405824736,,,,HK,62.20,59.00,MED to STK,MED,STK,0.04,FACETED,NONE,,14.00,34.00,44.50,41.80,,,,Crystal,,,,SB0,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,MIX TINGE  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,14/04/2023,AVAILABLE,NO,NO,NO,,,,,,,1600.0,-39.0,976.0,292.8,,,,,
KG-89806,ROUND,0.300,I,SI2,EX,EX,EX,NON,,,,,4.29 - 4.31 * 2.67,4.29,4.31,2.67,GIA,,2466422637,https://www.gia.edu/report-check?reportno=2466422637,,,,HK,62.20,55.00,MED to STK,MED,STK,3.50,FACETED,NONE,,15.00,34.00,43.50,41.20,,,,Feather,,,,SB0,TB2,SF2,SC0,,,1,,,TF2,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,08/05/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-89806.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-89806,,,,1200.0,-38.0,744.0,223.2,,,,,
KG-89816,ROUND,0.300,J,SI1,EX,EX,EX,FNT,,,,,4.28 - 4.30 * 2.64,4.28,4.30,2.64,GIA,,7461421411,https://www.gia.edu/report-check?reportno=7461421411,,,,HK,61.40,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,35.00,43.00,40.80,,,,Twinning Wisp  Feather,,,,SB0,TB2,SF0,SC0,,,1,,,TF2,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,08/05/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-89816.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-89816,,,,1300.0,-42.0,754.0,226.2,,,,,
KG-87267,ROUND,0.500,I,SI1,EX,EX,EX,NON,,,,,5.06 - 5.09 * 3.21,5.06,5.09,3.21,GIA,,2457986233,https://www.gia.edu/report-check?reportno=2457986233,,,,HK,63.20,56.00,MED,MED,,3.50,FACETED,NONE,,16.50,36.50,43.50,41.00,,,,Feather,,,,SB0,TB0,SF2,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,18/05/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-87267.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-87267,,,,2000.0,-35.95,1281.0,640.5,,,,,
KG-87987,ROUND,0.500,I,SI1,EX,EX,EX,NON,,,,,5.05 - 5.07 * 3.13,5.05,5.07,3.13,GIA,,5466138659,https://www.gia.edu/report-check?reportno=5466138659,,,,HK,61.80,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,36.00,43.00,40.60,,,,Cloud  Crystal,,,,SB1,TB0,SF1,SC0,,,1,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,18/05/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-87987.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-87987,,,,2000.0,-35.95,1281.0,640.5,,,,,
KG-90129,ROUND,0.500,G,VS2,EX,EX,EX,NON,,,,,5.02 - 5.06 * 3.18,5.02,5.06,3.18,GIA,,3465466945,https://www.gia.edu/report-check?reportno=3465466945,,,,HK,63.10,55.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.50,36.50,43.00,40.60,,,,Feather,,,,SB0,TB1,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,NO BGM  100% EYE CLEAN  Wechat: Diam0070  Contact Mr. Rakesh sutariya Whats App. +852 6660 4203  Miss. Ramiya Khunt - Whats app. +852 6660 4193  Wechat: diam0071,25/05/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-90129.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-90129,,,,2900.0,-40.0,1740.0,870.0,,,,,
